split,row_i,n_points,n_classes_present,classes_present,only_bg,bg_points,fg_points
train,0,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,1,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,2,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,3,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,4,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,5,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,6,8192,13,"0,1,2,3,5,6,7,8,9,10,12,13,14",0,6554,1638
train,7,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,8,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,9,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,10,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,11,8192,12,"0,1,2,3,4,5,6,8,9,10,11,13",0,6554,1638
train,12,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,13,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,14,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,15,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,16,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,17,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,18,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,19,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,20,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,21,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,22,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,23,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,24,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,25,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,26,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,27,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,28,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,29,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,30,8192,1,0,1,8192,0
train,31,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,32,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,33,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,34,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,35,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,36,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,37,8192,14,"0,1,2,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,38,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,39,8192,13,"0,1,2,3,4,6,7,8,9,10,11,13,14",0,6554,1638
train,40,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,41,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,42,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,43,8192,1,0,1,8192,0
train,44,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,45,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,46,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,47,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,48,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,49,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,50,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,51,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,52,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,53,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,54,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,55,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,56,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,57,8192,13,"0,1,2,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,58,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,59,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,60,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,61,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,62,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,63,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,64,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,65,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,66,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,67,8192,1,0,1,8192,0
train,68,8192,13,"0,1,2,3,4,5,8,9,10,11,12,13,14",0,6554,1638
train,69,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,70,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,71,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,72,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
