idx,pid,case_upper,case_lower
770,TEPBA32B,TEPBA32B,TEPBA32B
608,IUIE4BYI,IUIE4BYI,IUIE4BYI
347,3SVY023X,3SVY023X,3SVY023X
827,WKDWFB4W,WKDWFB4W,WKDWFB4W
98,016Y55Z0,016Y55Z0,016Y55Z0
552,G29MBJ1O,G29MBJ1O,G29MBJ1O
777,TZRY3HIX,TZRY3HIX,TZRY3HIX
192,01FC2D4A,01FC2D4A,01FC2D4A
103,0178P1CT,0178P1CT,0178P1CT
535,ENQ0R553,ENQ0R553,ENQ0R553
175,01ECNYXT,01ECNYXT,01ECNYXT
298,12MM6PD7,12MM6PD7,12MM6PD7
96,016X1CJT,016X1CJT,016X1CJT
489,CBSF6Q84,CBSF6Q84,CBSF6Q84
860,XYCYM84N,XYCYM84N,XYCYM84N
728,QPYE7NOP,QPYE7NOP,QPYE7NOP
290,0O4502M7,0O4502M7,0O4502M7
108,017U0890,017U0890,017U0890
285,0JN50XQR,0JN50XQR,0JN50XQR
492,CK45DVLG,CK45DVLG,CK45DVLG
395,6N26U3H8,6N26U3H8,6N26U3H8
217,01HMF5HV,01HMF5HV,01HMF5HV
737,RGSLRERP,RGSLRERP,RGSLRERP
725,QF3P9YRI,QF3P9YRI,QF3P9YRI
41,014JV25R,014JV25R,014JV25R
487,C928TR28,C928TR28,C928TR28
742,RUXSXSCL,RUXSXSCL,RUXSXSCL
772,THY8Z5DD,THY8Z5DD,THY8Z5DD
637,KS0FGXGB,KS0FGXGB,KS0FGXGB
890,ZK5A0EXI,ZK5A0EXI,ZK5A0EXI
259,01KY7E6A,01KY7E6A,01KY7E6A
341,3JCUF41E,3JCUF41E,3JCUF41E
624,K4BAII5F,K4BAII5F,K4BAII5F
288,0LF355FQ,0LF355FQ,0LF355FQ
204,01FUXUMF,01FUXUMF,01FUXUMF
459,APLDXK7R,APLDXK7R,APLDXK7R
220,01HXX9J8,01HXX9J8,01HXX9J8
266,01M6JVVN,01M6JVVN,01M6JVVN
246,01KEK90A,01KEK90A,01KEK90A
135,019P6PZD,019P6PZD,019P6PZD
525,E23G704K,E23G704K,E23G704K
684,NUYIOL97,NUYIOL97,NUYIOL97
515,DLVODLKR,DLVODLKR,DLVODLKR
445,9TLHF8TV,9TLHF8TV,9TLHF8TV
697,OJKNS9DO,OJKNS9DO,OJKNS9DO
617,JKLNUYPM,JKLNUYPM,JKLNUYPM
438,9KDRM0A8,9KDRM0A8,9KDRM0A8
534,EKITH3BB,EKITH3BB,EKITH3BB
734,R7SB5B5N,R7SB5B5N,R7SB5B5N
159,01AS72AN,01AS72AN,01AS72AN
839,X8I1PX6F,X8I1PX6F,X8I1PX6F
69,015KFJV6,015KFJV6,015KFJV6
247,01KEV6ET,01KEV6ET,01KEV6ET
410,7DRMXZ3A,7DRMXZ3A,7DRMXZ3A
547,FJS5HCDU,FJS5HCDU,FJS5HCDU
435,92NOTURU,92NOTURU,92NOTURU
325,2GB3W1J0,2GB3W1J0,2GB3W1J0
155,01ADYT70,01ADYT70,01ADYT70
754,SE68JIRS,SE68JIRS,SE68JIRS
381,5M23YGJN,5M23YGJN,5M23YGJN
516,DNDYES9U,DNDYES9U,DNDYES9U
795,V5KEFD0N,V5KEFD0N,V5KEFD0N
785,UHU2XH25,UHU2XH25,UHU2XH25
402,6X24ILNE,6X24ILNE,6X24ILNE
364,4OWAG3SG,4OWAG3SG,4OWAG3SG
606,ITB1L2PL,ITB1L2PL,ITB1L2PL
160,01AS9ER0,01AS9ER0,01AS9ER0
849,XG9DMI04,XG9DMI04,XG9DMI04
673,MX0PKG9L,MX0PKG9L,MX0PKG9L
426,8JYS0DD1,8JYS0DD1,8JYS0DD1
85,016FSM14,016FSM14,016FSM14
375,56R9FBMK,56R9FBMK,56R9FBMK
634,KHLZKW97,KHLZKW97,KHLZKW97
40,014JUMCF,014JUMCF,014JUMCF
719,Q21I52KT,Q21I52KT,Q21I52KT
480,BUGB9DY1,BUGB9DY1,BUGB9DY1
631,KBGVMAF7,KBGVMAF7,KBGVMAF7
822,WBIEGF2H,WBIEGF2H,WBIEGF2H
862,Y8BV16EI,Y8BV16EI,Y8BV16EI
109,017U1TED,017U1TED,017U1TED
861,Y48DURWV,Y48DURWV,Y48DURWV
418,80RPZWJT,80RPZWJT,80RPZWJT
853,XKC3KSSB,XKC3KSSB,XKC3KSSB
33,0148VUFR,0148VUFR,0148VUFR
105,017APYC4,017APYC4,017APYC4
52,014ZWMZ8,014ZWMZ8,014ZWMZ8
463,AVI68NCT,AVI68NCT,AVI68NCT
358,4LQPEQN5,4LQPEQN5,4LQPEQN5
281,0DNK2I7H,0DNK2I7H,0DNK2I7H
722,QA27COSZ,QA27COSZ,QA27COSZ
26,0140XF2Z,0140XF2Z,0140XF2Z
139,019TUUZD,019TUUZD,019TUUZD
793,UX9MEDVJ,UX9MEDVJ,UX9MEDVJ
136,019PEUMN,019PEUMN,019PEUMN
432,8WZSZBYG,8WZSZBYG,8WZSZBYG
51,014ZTUSK,014ZTUSK,014ZTUSK
75,015WW8D6,015WW8D6,015WW8D6
680,NFC5OJPM,NFC5OJPM,NFC5OJPM
619,JTK0GQ2B,JTK0GQ2B,JTK0GQ2B
83,0169NHT6,0169NHT6,0169NHT6
612,JDRJHMFZ,JDRJHMFZ,JDRJHMFZ
292,0OTKQ5J9,0OTKQ5J9,0OTKQ5J9
302,15AIQVK8,15AIQVK8,15AIQVK8
150,01A6HE9H,01A6HE9H,01A6HE9H
783,UAO672OA,UAO672OA,UAO672OA
196,01FJT0PR,01FJT0PR,01FJT0PR
338,3EIXXI7Z,3EIXXI7Z,3EIXXI7Z
25,0140W3ND,0140W3ND,0140W3ND
253,01KRDUKX,01KRDUKX,01KRDUKX
841,X9QY6TGT,X9QY6TGT,X9QY6TGT
163,01CCUKV4,01CCUKV4,01CCUKV4
56,01533W1T,01533W1T,01533W1T
385,5WCMFAT0,5WCMFAT0,5WCMFAT0
304,1EC2MSZR,1EC2MSZR,1EC2MSZR
791,ULYCMXUY,ULYCMXUY,ULYCMXUY
428,8OHPQ7X8,8OHPQ7X8,8OHPQ7X8
143,019ZHT7Z,019ZHT7Z,019ZHT7Z
9,013H3Y8H,013H3Y8H,013H3Y8H
82,0166M778,0166M778,0166M778
863,Y8NWJUEB,Y8NWJUEB,Y8NWJUEB
72,015RM178,015RM178,015RM178
269,01MAVHYZ,01MAVHYZ,01MAVHYZ
556,GB5JUSDJ,GB5JUSDJ,GB5JUSDJ
329,2Q8KKZ6V,2Q8KKZ6V,2Q8KKZ6V
254,01KRESY6,01KRESY6,01KRESY6
590,I3PL4JRE,I3PL4JRE,I3PL4JRE
630,KAHYFGOY,KAHYFGOY,KAHYFGOY
784,UEPDPBK2,UEPDPBK2,UEPDPBK2
681,NFE03ULN,NFE03ULN,NFE03ULN
271,01MCCA3X,01MCCA3X,01MCCA3X
264,01M6A1CH,01M6A1CH,01M6A1CH
182,01ETW4JZ,01ETW4JZ,01ETW4JZ
810,VR3C4L0M,VR3C4L0M,VR3C4L0M
398,6QJ5RART,6QJ5RART,6QJ5RART
706,P2XZ9Q6L,P2XZ9Q6L,P2XZ9Q6L
720,Q3NA514X,Q3NA514X,Q3NA514X
494,CNUR69O9,CNUR69O9,CNUR69O9
749,S1Y7IWMP,S1Y7IWMP,S1Y7IWMP
359,4MC4KRQV,4MC4KRQV,4MC4KRQV
674,MXWH2ZXJ,MXWH2ZXJ,MXWH2ZXJ
228,01J9AXDD,01J9AXDD,01J9AXDD
107,017FHD6X,017FHD6X,017FHD6X
95,016THRCV,016THRCV,016THRCV
704,OSZV3Q38,OSZV3Q38,OSZV3Q38
808,VNRRN6ZF,VNRRN6ZF,VNRRN6ZF
39,014JJ942,014JJ942,014JJ942
760,SL5I9AXM,SL5I9AXM,SL5I9AXM
701,OR84V09H,OR84V09H,OR84V09H
801,VBUD4E5R,VBUD4E5R,VBUD4E5R
479,BTDMOORI,BTDMOORI,BTDMOORI
369,4ZIK093I,4ZIK093I,4ZIK093I
148,01A6H4PZ,01A6H4PZ,01A6H4PZ
27,0140YFGV,0140YFGV,0140YFGV
227,01J54NZ0,01J54NZ0,01J54NZ0
881,Z83V9A9D,Z83V9A9D,Z83V9A9D
600,IFVHVDFO,IFVHVDFO,IFVHVDFO
119,018W5JTD,018W5JTD,018W5JTD
602,IKZNMT4Z,IKZNMT4Z,IKZNMT4Z
504,D0NMVCKH,D0NMVCKH,D0NMVCKH
485,C4LOTSKE,C4LOTSKE,C4LOTSKE
834,X2J0T3NG,X2J0T3NG,X2J0T3NG
154,01ADUNMV,01ADUNMV,01ADUNMV
764,SY3JLB0V,SY3JLB0V,SY3JLB0V
502,CYU4HS3D,CYU4HS3D,CYU4HS3D
231,01JH0154,01JH0154,01JH0154
658,LPISNMTY,LPISNMTY,LPISNMTY
685,NV3U6JM9,NV3U6JM9,NV3U6JM9
187,01F6WV5D,01F6WV5D,01F6WV5D
1,01328DDN,01328DDN,01328DDN
707,P5NL90OZ,P5NL90OZ,P5NL90OZ
439,9LWEGQLI,9LWEGQLI,9LWEGQLI
444,9S7DPB1Q,9S7DPB1Q,9S7DPB1Q
405,725VOCK0,725VOCK0,725VOCK0
296,0VYQUKGQ,0VYQUKGQ,0VYQUKGQ
880,Z6BKBK3G,Z6BKBK3G,Z6BKBK3G
899,patient2,patient2,patient2
731,QVUPP39R,QVUPP39R,QVUPP39R
647,L9EKTZMV,L9EKTZMV,L9EKTZMV
89,016N696F,016N696F,016N696F
505,D8FLAW28,D8FLAW28,D8FLAW28
287,0KPHM46Q,0KPHM46Q,0KPHM46Q
548,FKSYZ9LA,FKSYZ9LA,FKSYZ9LA
454,AJP25A9G,AJP25A9G,AJP25A9G
517,DNSRP767,DNSRP767,DNSRP767
128,019EMA3D,019EMA3D,019EMA3D
173,01E84NTX,01E84NTX,01E84NTX
14,013TGCFK,013TGCFK,013TGCFK
366,4SA064Y7,4SA064Y7,4SA064Y7
699,OO75RHX3,OO75RHX3,OO75RHX3
229,01J9K9S6,01J9K9S6,01J9K9S6
467,B5708797,B5708797,B5708797
789,UKH51GS2,UKH51GS2,UKH51GS2
293,0TMOBYXS,0TMOBYXS,0TMOBYXS
651,LE4E8YWJ,LE4E8YWJ,LE4E8YWJ
756,SFTVTQOW,SFTVTQOW,SFTVTQOW
564,GSHA8E4C,GSHA8E4C,GSHA8E4C
272,01MCM1UK,01MCM1UK,01MCM1UK
42,014M2HZD,014M2HZD,014M2HZD
214,01HJHZ5X,01HJHZ5X,01HJHZ5X
57,0154PPVX,0154PPVX,0154PPVX
124,019CNYA6,019CNYA6,019CNYA6
611,J8YGBFK2,J8YGBFK2,J8YGBFK2
54,0151RHMK,0151RHMK,0151RHMK
852,XH94C2GV,XH94C2GV,XH94C2GV
117,018UV7KV,018UV7KV,018UV7KV
93,016T6810,016T6810,016T6810
589,I13W39XQ,I13W39XQ,I13W39XQ
453,AEOQ4Q9Q,AEOQ4Q9Q,AEOQ4Q9Q
550,FWTHWWD3,FWTHWWD3,FWTHWWD3
522,E0CUCLHY,E0CUCLHY,E0CUCLHY
874,YV4OEIZ5,YV4OEIZ5,YV4OEIZ5
481,BWWLPBF7,BWWLPBF7,BWWLPBF7
544,FGXB4D4K,FGXB4D4K,FGXB4D4K
443,9RXZC3H4,9RXZC3H4,9RXZC3H4
465,AYJQ5YMF,AYJQ5YMF,AYJQ5YMF
703,OS06596E,OS06596E,OS06596E
270,01MAVT6A,01MAVT6A,01MAVT6A
50,014ZTSJ8,014ZTSJ8,014ZTSJ8
44,014RZUKF,014RZUKF,014RZUKF
32,0148UTKX,0148UTKX,0148UTKX
218,01HMZ9RN,01HMZ9RN,01HMZ9RN
225,01J4R99K,01J4R99K,01J4R99K
597,IBG3DGZJ,IBG3DGZJ,IBG3DGZJ
738,RHGVYFQ9,RHGVYFQ9,RHGVYFQ9
314,211UTGV1,211UTGV1,211UTGV1
99,0171X5EV,0171X5EV,0171X5EV
698,OLS97NA3,OLS97NA3,OLS97NA3
805,VGZWVOXX,VGZWVOXX,VGZWVOXX
403,6X2UD6H6,6X2UD6H6,6X2UD6H6
362,4OPR2WF4,4OPR2WF4,4OPR2WF4
499,CVXIS1C2,CVXIS1C2,CVXIS1C2
870,YN26T284,YN26T284,YN26T284
289,0NH6X4SS,0NH6X4SS,0NH6X4SS
640,KW108G1P,KW108G1P,KW108G1P
715,PS0WAD4X,PS0WAD4X,PS0WAD4X
618,JRG6Y6E0,JRG6Y6E0,JRG6Y6E0
344,3PLVMF2P,3PLVMF2P,3PLVMF2P
31,0145NKWZ,0145NKWZ,0145NKWZ
235,01JNZKAX,01JNZKAX,01JNZKAX
710,PCXO5HOG,PCXO5HOG,PCXO5HOG
806,VJZXIP9X,VJZXIP9X,VJZXIP9X
397,6PTI2HX6,6PTI2HX6,6PTI2HX6
436,949XHLS5,949XHLS5,949XHLS5
639,KSHNN3DV,KSHNN3DV,KSHNN3DV
521,DXNHHADD,DXNHHADD,DXNHHADD
356,4I10EMWA,4I10EMWA,4I10EMWA
120,018XZVD6,018XZVD6,018XZVD6
373,552HVG7E,552HVG7E,552HVG7E
869,YMB2MN8L,YMB2MN8L,YMB2MN8L
596,IAKXN91M,IAKXN91M,IAKXN91M
610,J8CXVF59,J8CXVF59,J8CXVF59
532,EJWZZZRF,EJWZZZRF,EJWZZZRF
638,KS84R9LU,KS84R9LU,KS84R9LU
603,IMFA1IHI,IMFA1IHI,IMFA1IHI
