epoch,train_loss,val_acc@0.5,val_f1@0.5,val_rec@0.5,val_iou@0.5
1,0.48344193398952484,1.0,1.0,1.0,1.0
2,0.4733532319466273,1.0,1.0,1.0,1.0
3,0.41693473358949024,1.0,1.0,1.0,1.0
4,0.43511863052845,1.0,1.0,1.0,1.0
5,0.3439819912115733,1.0,1.0,1.0,1.0
6,0.29537798712650937,1.0,1.0,1.0,1.0
7,0.3001698578397433,1.0,1.0,1.0,1.0
8,0.36377787093321484,1.0,1.0,1.0,1.0
9,0.28527211397886276,1.0,1.0,1.0,1.0
10,0.21160794297854105,1.0,1.0,1.0,1.0
11,0.1940485561887423,1.0,1.0,1.0,1.0
12,0.24036886791388193,1.0,1.0,1.0,1.0
13,0.1811936398347219,1.0,1.0,1.0,1.0
14,0.20191182817022005,1.0,1.0,1.0,1.0
