epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec,d11_acc,d11_f1,d11_iou,d11_bin_acc_all,d22_acc,d22_f1,d22_iou,d22_bin_acc_all
1,train,2.6212215573637634,0.7737645502690669,0.0342971511515691,0.04673699495069944,0.025174270892781136,0.9113035934038156,0.07234876341593735,0.03850841350317902,0.9813399414915387,0.9380531577797203,0.00019996590383506793,17.573140382766724,,,,,,,,
1,val,2.3994685808817544,0.806750496228536,0.09536050027236342,0.11892841242917046,0.06886951419796183,0.9102703682828083,0.16149976735088586,0.08953205610474224,0.9820516798230577,0.937417189280192,0.00019996590383506793,17.573140382766724,0.916581381072756,0.025621916142380866,0.013067678612724709,0.9844833374022676,0.9452887326853153,0.0012130033964006819,0.0006087168249285948,0.9898467169866857
2,train,2.2112184321130073,0.1945920290646853,0.2905787356145732,0.2768070563969177,0.167833413859453,0.9230070845293222,0.3945248200619773,0.2523350153210465,0.9707465538611045,0.14783493788925917,0.0001998636387080801,13.03191065788269,,,,,,,,
2,val,1.0406621197859447,0.34795626004536945,0.6584357221921285,0.6124744914987773,0.4665994303070434,0.9696654014987874,0.8295816964070615,0.7105474609441987,0.9763764275444125,0.22601784765720367,0.0001998636387080801,13.03191065788269,0.9738349287223421,0.8353924987274842,0.7190935523262101,0.9805117289224503,0.9352784514525111,0.5277151980026341,0.3596003364265156,0.9650825500487535
3,train,2.8845464866478125,0.6911703256460336,0.17041230178275307,0.23767314476515877,0.14232962312565417,0.9055001708315877,0.3541255191739641,0.21916530063595932,0.9545902705692018,0.7767390537928868,0.00019969327470644626,13.022254467010498,,,,,,,,
3,val,1.2451850771903992,0.8102050026257833,0.4763386696577072,0.536862580772923,0.3977991512858043,0.9508104460824846,0.7459123686819243,0.5955170950723118,0.9640870836045262,0.7816912432511648,0.00019969327470644626,13.022254467010498,0.9755916600692741,0.8591318231112081,0.7540154629083723,0.984106190999273,0.9483364091304267,0.41567484041718106,0.26395082375229384,0.9873388502332135
4,train,2.7849664337985165,0.7268520968777317,0.07577899084068261,0.10606218075714555,0.05938100370233087,0.9170585654362587,0.21259665998293664,0.12089742989233333,0.9796946065408453,0.8556723961463342,0.0001994549285891432,13.056424140930176,,,,,,,,
4,val,2.0135819911956787,0.8421725034713745,0.20025703807671866,0.25846171666649564,0.16539530425523138,0.9377709608932795,0.49880769968656913,0.33290154756363083,0.9876814100476667,0.9206748207410177,0.0001994549285891432,13.056424140930176,0.9523372939463278,0.6449011909799813,0.4766613918182209,0.9892027960882482,0.9401343679041213,0.28830779859565864,0.1691966639752708,0.9882425096299151
5,train,2.539135099290968,0.6026365907042177,0.12977564986143914,0.14636271260961217,0.08268299808530882,0.9163384571030897,0.20509105941337644,0.11680711890668863,0.9787050260529738,0.6913196590396907,0.00019914876370669414,13.08730697631836,,,,,,,,
5,val,2.040714899698893,0.6560324827829996,0.3466941987474759,0.365467443178021,0.23695165997662582,0.9343803530612811,0.4942213987471358,0.336586839181084,0.9816106160481013,0.6626750528812408,0.00019914876370669414,13.08730697631836,0.9345855304642606,0.4366502742088878,0.28676905332225794,0.9826073540580839,0.946926988524578,0.2816597550354076,0.16882681151022372,0.9857372707790036
6,train,2.2015919593664317,0.6824609182931326,0.2250463546781273,0.26956038964891005,0.16247486768440048,0.9299054704957531,0.352450441496048,0.22035952901694725,0.983920864291883,0.7394363830139586,0.0001987749898892162,13.113924026489258,,,,,,,,
6,val,1.3812726438045502,0.8311468362808228,0.5735139300425848,0.5598520049271559,0.41015910117724497,0.9631364925431409,0.7438192336786443,0.6007615551732498,0.9896913316513992,0.7522576252619425,0.0001987749898892162,13.113924026489258,0.9573244698927508,0.754803911112103,0.6083507948833659,0.9836217244465386,0.9601317384280402,0.5370074971045119,0.3737740396370015,0.9908804999456701
7,train,2.734547162389422,0.6657245342548077,0.21298695160271405,0.2593770273402742,0.15663093742385367,0.9134828463227129,0.3380762217169382,0.20802005610653987,0.9697725522767514,0.7231754222949902,0.00019833386330261348,13.126659154891968,,,,,,,,
