split,row_i,idx_global,sample_name,jaw,source_path,has_labels,png_all,png_err,png_d21
test,24,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_01_row_00024_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_01_row_00024_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_01_row_00024_unknown.png
test,87,,016G9TFH,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/016G9TFH,1,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_02_row_00087_016G9TFH_upper.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_02_row_00087_016G9TFH_upper.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_02_row_00087_016G9TFH_upper.png
test,46,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_03_row_00046_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_03_row_00046_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_03_row_00046_unknown.png
test,92,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_04_row_00092_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_04_row_00092_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_04_row_00092_unknown.png
test,75,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_05_row_00075_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_05_row_00075_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_05_row_00075_unknown.png
test,3,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_06_row_00003_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_06_row_00003_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_06_row_00003_unknown.png
test,45,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_07_row_00045_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_07_row_00045_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_07_row_00045_unknown.png
test,55,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_08_row_00055_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_08_row_00055_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_08_row_00055_unknown.png
test,52,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_09_row_00052_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_09_row_00052_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_09_row_00052_unknown.png
test,37,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_10_row_00037_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_10_row_00037_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_10_row_00037_unknown.png
test,86,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_11_row_00086_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_11_row_00086_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_11_row_00086_unknown.png
test,63,,,,,,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_all/ex_12_row_00063_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_errors/ex_12_row_00063_unknown.png,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/gpu1_run4_v3/inference_d21/ex_12_row_00063_unknown.png
