epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec,d11_acc,d11_f1,d11_iou,d11_bin_acc_all,d22_acc,d22_f1,d22_iou,d22_bin_acc_all
1,train,2.3986579815546674,0.39781413831208884,0.22102240036454118,0.23020053097541113,0.1365564123310842,0.8874332172507962,0.28840342010589554,0.17519482213831233,0.9377549020866173,0.40638968484443533,0.00019996590383506793,31.636347770690918,0.9056247660250372,0.3596829149375567,0.22864388192018015,0.9437769839636722,0.9444362457826005,0.02670500648993524,0.013725325025660321,0.9891436660497406
1,val,1.3622719744841258,0.414303553601106,0.6496730893850327,0.5765489036829728,0.4402997612446382,0.9428716180196263,0.7311889764240238,0.5779234336593723,0.9655323936824217,0.29487064977486926,0.00019996590383506793,31.636347770690918,0.9707710719607231,0.8288373036547259,0.7113945342110206,0.9634477524528832,0.9467942055731626,0.07054867426936154,0.03704561762845736,0.9900200253439692
2,train,2.2309059858322144,0.4937366150973136,0.276260674444207,0.3151204734140336,0.19653739620751734,0.91560075147094,0.3671794641492722,0.23581935633048973,0.9619929798860938,0.5002847771895559,0.0001998636387080801,39.73925566673279,0.9245327655721192,0.38883755397378567,0.2545990901763017,0.9784947980912724,0.9446372978633523,0.13768138701314847,0.07752483911087496,0.9881402802047572
2,val,1.6566381255785625,0.6818867673476537,0.6353702992200851,0.6199026753562299,0.4666821469681075,0.9428070551574449,0.6829947463819792,0.5223858151167343,0.9779837472096705,0.5752983118096987,0.0001998636387080801,39.73925566673279,0.9623599119126657,0.7991259509832753,0.6676636174762861,0.9839139665874597,0.9499017021330379,0.36588436387172824,0.23039737140165725,0.9882320222398957
3,train,2.1725683291753133,0.5319017376816063,0.2876748399645613,0.3380205556754258,0.2151604959260276,0.92239169096864,0.3865501337033645,0.252710810009874,0.9686667459051446,0.5412546258223684,0.00019969327470644626,41.439706563949585,0.9250487150918271,0.3441838415352483,0.21879633974509255,0.9790258039506468,0.9507880991645236,0.32747329940333153,0.20787736659561,0.9872963353205741
3,val,0.7602259665727615,0.8584660142660141,0.7091730286677679,0.7223016344673902,0.5754099447456458,0.9695555822035673,0.802592114268227,0.6789023788080266,0.9901442754834782,0.7377815296252569,0.00019969327470644626,41.439706563949585,0.965276869293906,0.7630116745434505,0.6204395271398414,0.9900249299547391,0.96856715264371,0.6948624087736831,0.550380667324439,0.99162183489103
4,train,2.1524496254168057,0.5382229989035088,0.29270253808874835,0.3453009332704444,0.22059317309414722,0.9236276231882797,0.39174793238538247,0.25647268208861085,0.9701295016103255,0.5465383429276316,0.0001994549285891432,42.2981481552124,0.9270273899025808,0.3765389421120441,0.24595893683967432,0.9782775878904773,0.9505451459328493,0.3232263751746505,0.20318951353192674,0.9856235972620488
4,val,1.6457251211007435,0.35142480830351513,0.6755144049723943,0.6536123032309197,0.5020846745478463,0.9690869260801501,0.8130114266747518,0.6867903826910853,0.9863241286503314,0.22689873849352202,0.0001994549285891432,42.2981481552124,0.9626877531631256,0.7764689334353063,0.6379554406539253,0.9809604826426129,0.9694509249560533,0.706156170193499,0.5498023696264817,0.9860534667967228
5,train,2.128657967584175,0.552326296086897,0.2953968153645595,0.3519288573917551,0.22489435185072176,0.924989490922328,0.3949895450553559,0.25809769023702506,0.9719743695173975,0.5618640565035636,0.00019914876370669414,42.589237689971924,0.9241464007997899,0.40351345018144136,0.267443689538863,0.962840458384586,0.9532926103407127,0.3512310113904674,0.22513919042852581,0.9874650386340336
5,val,1.1356873313585918,0.6635729521512985,0.7729321320851644,0.768963288077093,0.6340154136748668,0.9750193204053964,0.8502801322036282,0.7440163718919948,0.9666488284154943,0.522851308186849,0.00019914876370669414,42.589237689971924,0.9775601052378454,0.8673995199695081,0.7692742350494887,0.9617692856560085,0.9731651064976127,0.7384389157065158,0.5935986031553422,0.9893017723445275
