epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec
1,train,nan,0.8097832930715461,0.0,0.0,0.0,0.914164118856611,0.0,0.0,0.983672935084192,1.0,0.00019998772493192525,55.65457272529602
1,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019998772493192525,55.65457272529602
2,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141603571861824,0.0,0.0,0.9836729350841921,1.0,0.00019995090275639032,52.30363464355469
2,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019995090275639032,52.30363464355469
3,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141685069311734,0.0,0.0,0.9836729350841913,1.0,0.00019988954255871605,52.31790041923523
3,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019988954255871605,52.31790041923523
4,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141845143156021,0.0,0.0,0.9836729350841921,1.0,0.00019980365947861305,52.41291356086731
4,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019980365947861305,52.41291356086731
5,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141428730458899,0.0,0.0,0.9836729350841915,1.0,0.00019969327470644626,52.518330574035645
5,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019969327470644626,52.518330574035645
6,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141602776685578,0.0,0.0,0.9836729350841915,1.0,0.00019955841547800648,52.34630250930786
6,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019955841547800648,52.34630250930786
7,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141739043927117,0.0,0.0,0.9836729350841915,1.0,0.00019939911506779043,52.417667627334595
7,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019939911506779043,52.417667627334595
8,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141654317088009,0.0,0.0,0.9836729350841921,1.0,0.0001992154127807906,52.337981939315796
8,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.0001992154127807906,52.337981939315796
9,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141764132548686,0.0,0.0,0.9836729350841913,1.0,0.0001990073539427975,52.41914677619934
9,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.0001990073539427975,52.41914677619934
10,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141577266133761,0.0,0.0,0.9836729350841912,1.0,0.00019877498988921623,52.360331296920776
10,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019877498988921623,52.360331296920776
11,train,nan,0.8097832930715461,0.0,0.0,0.0,0.9141162589841889,0.0,0.0,0.9836729350841918,1.0,0.00019851837795240002,52.406867265701294
11,val,nan,0.814817950129509,0.0,0.0,0.0,0.9152984746729621,0.0,0.0,0.9843233281914827,1.0,0.00019851837795240002,52.406867265701294
