row_i,tag,sample_name,jaw,path,png_all,png_errors,png_d21
0,test_row0_01MAVHYZ,01MAVHYZ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVHYZ,inference_all/test_row0_01MAVHYZ.png,inference_errors/test_row0_01MAVHYZ.png,inference_d21/test_row0_01MAVHYZ.png
1,test_row1_01FR2S9H,01FR2S9H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FR2S9H,inference_all/test_row1_01FR2S9H.png,inference_errors/test_row1_01FR2S9H.png,inference_d21/test_row1_01FR2S9H.png
2,test_row2_01AVY0SK,01AVY0SK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01AVY0SK,inference_all/test_row2_01AVY0SK.png,inference_errors/test_row2_01AVY0SK.png,inference_d21/test_row2_01AVY0SK.png
4,test_row4_OEIWQQMQ,OEIWQQMQ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/OEIWQQMQ,inference_all/test_row4_OEIWQQMQ.png,inference_errors/test_row4_OEIWQQMQ.png,inference_d21/test_row4_OEIWQQMQ.png
5,test_row5_6BWQC0CT,6BWQC0CT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/6BWQC0CT,inference_all/test_row5_6BWQC0CT.png,inference_errors/test_row5_6BWQC0CT.png,inference_d21/test_row5_6BWQC0CT.png
6,test_row6_MC39MU3H,MC39MU3H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/MC39MU3H,inference_all/test_row6_MC39MU3H.png,inference_errors/test_row6_MC39MU3H.png,inference_d21/test_row6_MC39MU3H.png
7,test_row7_ASUXPX7O,ASUXPX7O,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ASUXPX7O,inference_all/test_row7_ASUXPX7O.png,inference_errors/test_row7_ASUXPX7O.png,inference_d21/test_row7_ASUXPX7O.png
8,test_row8_U1HFBZ1F,U1HFBZ1F,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/U1HFBZ1F,inference_all/test_row8_U1HFBZ1F.png,inference_errors/test_row8_U1HFBZ1F.png,inference_d21/test_row8_U1HFBZ1F.png
9,test_row9_QVUPP39R,QVUPP39R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/QVUPP39R,inference_all/test_row9_QVUPP39R.png,inference_errors/test_row9_QVUPP39R.png,inference_d21/test_row9_QVUPP39R.png
10,test_row10_017APYC4,017APYC4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/017APYC4,inference_all/test_row10_017APYC4.png,inference_errors/test_row10_017APYC4.png,inference_d21/test_row10_017APYC4.png
11,test_row11_F5NBC5X3,F5NBC5X3,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/F5NBC5X3,inference_all/test_row11_F5NBC5X3.png,inference_errors/test_row11_F5NBC5X3.png,inference_d21/test_row11_F5NBC5X3.png
