epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.4858167800638411,0.7283830915178572,0.10058154592329245,0.8526946107784431,0.1799380831034265,0.09886371525768901,0.7238814600650524,8544,76402,1476,200298,0.30059685558080673,0.9560089111328125,0.4250694970937579,0.7344978165938865,0.5384984792700496,0.36845564074479736,0.9640293457293742,1682,2275,608,60971
2,9.998303758629009e-05,0.34937581088807845,0.7873883928571429,0.14108562087819176,0.9992015968063872,0.24725871777141165,0.14106971763512371,0.7797181062522588,10012,60952,8,215748,0.1749531626701355,0.9193878173828125,0.30097087378640774,0.9882096069868995,0.46141298807217856,0.29989398356745295,0.9168959301774026,2263,5256,27,57990
3,9.993216197035142e-05,0.28983355893029106,0.8647077287946429,0.20514870155157924,0.9989021956087825,0.3403900763488582,0.20510245901639343,0.8598482110589085,10009,38780,11,237920,0.13105472177267075,0.949798583984375,0.40815576781778107,0.9703056768558952,0.5746056374450479,0.4031204644412192,0.9490560667868324,2222,3222,68,60024
4,9.984740801978987e-05,0.24429854419496325,0.9092145647321429,0.27770063871146905,0.998003992015968,0.43449923962633064,0.2775464890369137,0.9059992771955186,10000,26010,20,250690,0.15355990827083588,0.9329986572265625,0.34262172284644193,0.9986899563318777,0.5102063580591187,0.34246780473195565,0.930620118268349,2287,4388,3,58858
5,9.972883382072955e-05,0.20639868742889828,0.9366524832589286,0.3552870090634441,0.9976047904191617,0.5239680251605294,0.35498419688199156,0.9344452475605349,9996,18139,24,258561,0.10762110725045204,0.97027587890625,0.5414444983034415,0.9755458515283842,0.6963840399002493,0.5341941654710665,0.9700850646681213,2234,1892,56,61354
6,9.957652063800364e-05,0.17701154781712425,0.9511683872767858,0.4170175511735523,0.9983033932135729,0.5882906460434616,0.4167222129645059,0.9494615106613661,10003,13984,17,262716,0.12604283168911934,0.9853973388671875,0.7316649287452207,0.9192139737991266,0.8147861428294949,0.6874591770084911,0.9877936944628909,2105,772,185,62474
7,9.939057285945934e-05,0.15547612806161246,0.9601771763392857,0.4673150659309829,0.9974051896207585,0.636438897026046,0.4667476181580422,0.9588290567401518,9994,11392,26,265308,0.10113933682441711,0.972015380859375,0.5557729941291585,0.9921397379912664,0.7124490435873314,0.553336580613736,0.9712867216899093,2272,1816,18,61430
8,9.917111792441577e-05,0.13841725389162698,0.9654506138392858,0.5028703796958405,0.9966067864271457,0.668451703594618,0.5020108586366379,0.964322370798699,9986,9872,34,266828,0.0938808023929596,0.9822845458984375,0.6665683092357627,0.9864628820960699,0.7955625990491284,0.6605263157894737,0.9821332574392057,2259,1130,31,62116
9,9.891830623632339e-05,0.12448283119334115,0.9706821986607143,0.5439494608430454,0.9968063872255489,0.7038263688253118,0.5430031532021311,0.9697361763642934,9988,8374,32,268326,0.08146290481090546,0.98541259765625,0.7118805590851334,0.9786026200873362,0.8242000735564544,0.7009696590553645,0.9856591721215571,2241,907,49,62339
10,9.8632311059685e-05,0.113628884156545,0.97490234375,0.5824959102594064,0.9950099800399201,0.7348172169811319,0.5807992543399744,0.9741741958800144,9970,7146,50,269554,0.07573574408888817,0.9838104248046875,0.6862685662321916,0.988646288209607,0.8101628198246555,0.6809022556390978,0.9836353287164405,2264,1035,26,62211
