epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.4930615855587853,0.7177908761160714,0.09607409770324463,0.8428785607196402,0.1724874975711028,0.09438375789049559,0.7132681639954466,8433,79343,1572,197372,0.6464918553829193,0.9664154052734375,0.5582362728785357,0.2866296454506621,0.37877504939316964,0.2336350974930362,0.9915974365060527,671,531,1670,62664
2,9.998303758629009e-05,0.3504306475321452,0.7881208147321429,0.1413426063356092,0.999400299850075,0.24765938475256355,0.14133061951405673,0.7804817230724753,9999,60744,6,215971,0.13876470178365707,0.93017578125,0.33745454545454545,0.9910294745835113,0.5034722222222222,0.33642691415313225,0.9279215127779097,2320,4555,21,58640
3,9.993216197035142e-05,0.2885313067171309,0.8651576450892857,0.2054839571642926,0.9992003998001,0.3408687943262411,0.205450173657494,0.8603111504616663,9997,38654,8,238061,0.17449744045734406,0.91278076171875,0.2905027932960894,0.9995728321230244,0.45017314351673726,0.29046673286991065,0.909565630192262,2340,5715,1,57480
4,9.984740801978987e-05,0.24014095134205288,0.9123291015625,0.2846407833314357,0.9995002498750625,0.4430954649179165,0.28460027890827333,0.9091773123972318,10000,25132,5,251583,0.11316908150911331,0.94952392578125,0.41407499555713523,0.9953011533532679,0.5848393574297189,0.41326711599858107,0.9478281509613102,2330,3297,11,59898
5,9.972883382072955e-05,0.2031993650727802,0.9372174944196429,0.3570611369324276,0.9982008995502248,0.5259776168531929,0.35683149921394886,0.9350125580470882,9987,17983,18,258732,0.11172112077474594,0.979736328125,0.6471100784199826,0.9517300299017514,0.7704011065006916,0.6265466816647919,0.9807737953952054,2228,1215,113,61980
6,9.957652063800364e-05,0.17332089444001517,0.9537562779017857,0.42994919486782057,0.9981009495252374,0.6010050856128314,0.4295977629597763,0.952152937137488,9986,13240,19,263475,0.0931333675980568,0.9729766845703125,0.5706494794248884,0.9833404527979496,0.7221960784313725,0.5651853670513135,0.9725927684152227,2302,1732,39,61463
7,9.939057285945934e-05,0.15149229930506813,0.9623674665178571,0.4810943596165888,0.9983008495752124,0.6492881752584021,0.48070074116854367,0.9610682471134561,9988,10773,17,265942,0.17485063523054123,0.9514312744140625,0.4237042406669083,0.9987184963690731,0.5949866395215676,0.42347400833182397,0.9496795632565868,2338,3180,3,60015
8,9.917111792441577e-05,0.1343806857864062,0.9671979631696429,0.5155006716957735,0.9972013993003498,0.6796553016110904,0.514755959137344,0.9661131489077209,9977,9377,28,267338,0.16757987439632416,0.956939697265625,0.4533462657613967,0.9982913284920973,0.6235325506937033,0.4529947664276022,0.9554078645462457,2337,2818,4,60377
9,9.891830623632339e-05,0.12106409917275111,0.9732561383928572,0.566456236137178,0.9955022488755623,0.7220530665506742,0.5650102110279102,0.9724518005890537,9960,7623,45,269092,0.09496577829122543,0.9786529541015625,0.6293245469522241,0.979068774028193,0.7661708173157279,0.6209699268490924,0.978637550439117,2292,1350,49,61845
10,9.8632311059685e-05,0.10907059493992063,0.97529296875,0.5857251863591008,0.9974012993503248,0.738037127431403,0.5848326788958566,0.9744936125616609,9979,7058,26,269657,0.08415040001273155,0.9809722900390625,0.6574553828439839,0.9756514310123878,0.7855546001719689,0.6468422543188899,0.9811693963129995,2284,1190,57,62005
