epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.5905437138345506,0.5165004185267857,0.06562459892325671,0.969560878243513,0.12292877975945693,0.06548967265275306,0.5000939645825804,9715,138324,305,138376,0.6768029630184174,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
2,9.998303758629009e-05,0.47970663176642525,0.6151925223214286,0.0832350057334685,0.9997005988023953,0.15367503797002285,0.08323293089265386,0.6012685218648356,10017,110329,3,166371,0.6637476682662964,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
3,9.993216197035142e-05,0.4093773000770145,0.7212751116071429,0.11136934813068523,0.9995009980039921,0.20040822043903708,0.11136315619752922,0.7111998554391037,10015,79911,5,196789,0.7187985479831696,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
4,9.984740801978987e-05,0.3480314479933845,0.8240966796875,0.16565462697926836,0.9992015968063872,0.2841936445308619,0.16563270302909988,0.817755692085291,10012,50427,8,226273,0.5952003598213196,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
5,9.972883382072955e-05,0.2929069962766435,0.8951171875,0.24968792130623657,0.9981037924151697,0.399448815752686,0.2495695355975345,0.8913877846042646,10001,30053,19,246647,0.5785537958145142,0.96636962890625,0.967391304347826,0.0388646288209607,0.07472712006717044,0.03881378107283035,0.9999525661701926,89,3,2201,63243
6,9.957652063800364e-05,0.24541402525371975,0.9342424665178571,0.34677027683341427,0.9976047904191617,0.514647582762704,0.34648180242634313,0.9319479580773401,9996,18830,24,257870,0.37424325942993164,0.983154296875,0.7881438289601554,0.7082969432314411,0.7460901563937442,0.59501100513573,0.9931062834013218,1622,436,668,62810
7,9.939057285945934e-05,0.20661742322974735,0.955810546875,0.44136130288546643,0.995309381237525,0.6115403482953151,0.4404451706929294,0.95438019515721,9973,12623,47,264077,0.2628905475139618,0.966522216796875,0.5108499095840868,0.9868995633187773,0.6732201370271075,0.5074090704984284,0.9657843974322486,2260,2164,30,61082
8,9.917111792441577e-05,0.17557787895202637,0.9665841238839286,0.5112454531482146,0.9959081836327345,0.675649141812519,0.5101738241308793,0.9655222262378027,9979,9540,41,267160,0.1940755844116211,0.9905242919921875,0.8865215377489578,0.8358078602620087,0.8604180714767363,0.7550295857988165,0.9961262372323941,1914,245,376,63001
9,9.891830623632339e-05,0.15366867846912807,0.9732735770089286,0.5672314450339437,0.992315369261477,0.7218410831609132,0.5647506531864137,0.9725840260209613,9943,7586,77,269114,0.16702985018491745,0.97979736328125,0.6349162011173184,0.9925764192139738,0.7744463373083473,0.6319154851264943,0.9793346614805679,2273,1307,17,61939
10,9.8632311059685e-05,0.13784542514218223,0.9768171037946428,0.6023796515510229,0.9903193612774451,0.7491035367833012,0.5988533494266747,0.97632815323455,9923,6550,97,270150,0.1514436900615692,0.97174072265625,0.5528985507246377,0.9995633187772925,0.7119751166407465,0.5527650326008211,0.9707333270088226,2289,1851,1,61395
11,9.831332840130888e-05,0.1247977183924781,0.9779261997767857,0.614095826893354,0.9913173652694611,0.7583890055354076,0.610810478415939,0.9774412721358873,9933,6242,87,270458,0.12335842847824097,0.98492431640625,0.702048417132216,0.9877729257641922,0.8207547169811321,0.696,0.984821174461626,2262,960,28,62286
12,9.796157687597556e-05,0.11565863341093063,0.9796630859375,0.634099494205775,0.9884231536926148,0.7725730332696283,0.6294248490625993,0.979345861944344,9904,5715,116,270985,0.08580781519412994,0.986907958984375,0.7330729166666666,0.9834061135371179,0.8399850801939575,0.7241157556270097,0.9870347531859722,2252,820,38,62426
13,9.757729755661011e-05,0.10756068759494358,0.9821986607142857,0.6651437785541521,0.9880239520958084,0.795053003533569,0.6598240469208211,0.9819877123238164,9900,4984,120,271716,0.10635851323604584,0.977142333984375,0.6046511627906976,0.9991266375545852,0.7533750411590384,0.6043317485472794,0.9763463302027006,2288,1496,2,61750
14,9.716075380906284e-05,0.10054812745915519,0.9833635602678571,0.6801399945100192,0.9891217564870259,0.8060344827586207,0.6750902527075813,0.9831550415612577,9911,4661,109,272039,0.08871117606759071,0.9807281494140625,0.6450155323354985,0.9973799126637555,0.7833990739152804,0.6439244431914294,0.9801252253106916,2284,1257,6,61989
15,9.671223111161149e-05,0.09739839533964793,0.9791399274553572,0.6271165103543778,0.994311377245509,0.7691357548153009,0.6248745609633718,0.9785905312612938,9963,5924,57,270776,0.08676314353942871,0.9916229248046875,0.8268869695831769,0.9615720524017467,0.8891580860084797,0.8004362050163577,0.99271100148626,2202,461,88,62785
16,9.62320368593087e-05,0.0932093577252494,0.9838692801339286,0.6877566645785481,0.9861277445109781,0.8103497765202773,0.6811664138976975,0.983787495482472,9881,4486,139,272214,0.08702505752444267,0.98370361328125,0.6833733493397359,0.9943231441048035,0.8100320170757737,0.6807174887892377,0.9833191031843911,2277,1055,13,62191
17,9.572050015330875e-05,0.08585264285405476,0.9841657366071429,0.690251353978614,0.9921157684630738,0.8141020391450332,0.6864857399350873,0.9838778460426455,9941,4461,79,272239,0.07655845582485199,0.9878692626953125,0.7482563932248423,0.9838427947598253,0.8500282965478211,0.7391732283464567,0.9880150523353256,2253,758,37,62488
18,9.517797157531812e-05,0.08309927582740784,0.9847481863839286,0.699244936842848,0.9889221556886227,0.819230292257451,0.6938103907015825,0.9845970365016263,9909,4262,111,272438,0.10184747353196144,0.97528076171875,0.5858094262295082,0.9986899563318777,0.7384565708750404,0.5853596109546967,0.9744331657338013,2287,1617,3,61629
19,9.460482294732422e-05,0.07965620938274595,0.9832938058035714,0.6783522029736735,0.9926147704590819,0.8059314480187992,0.6749457111834962,0.982956270328876,9946,4716,74,271984,0.08508030697703362,0.987060546875,0.7334844559585493,0.9890829694323144,0.8423205652658983,0.7275939608095086,0.9869873193561648,2265,823,25,62423
20,9.40014470767673e-05,0.07486610901024607,0.9849958147321428,0.7013663896323425,0.993812375249501,0.8223635312577421,0.6983169705469846,0.984676544994579,9958,4240,62,272460,0.0638799574226141,0.985870361328125,0.7139272271016311,0.993886462882096,0.8309602044541803,0.7108057464084947,0.9855801157385448,2276,912,14,62334
21,9.336825748732973e-05,0.07244235939449734,0.9870465959821428,0.7333136007103744,0.9890219560878244,0.8421857737741141,0.7273928361714621,0.9869750632453921,9910,3604,110,273096,0.09591060876846313,0.97601318359375,0.5931016597510373,0.9986899563318777,0.7442238854539538,0.5926405804612594,0.97519210701072,2287,1569,3,61677
22,9.270568813552758e-05,0.07094121972719829,0.9860491071428571,0.7172344110854504,0.9918163672654691,0.8324677500418831,0.7130147797388434,0.9858402602096134,9938,3918,82,272782,0.06802202016115189,0.9865570068359375,0.72544,0.9899563318777292,0.83730378578024,0.7201397712833545,0.9864339246750783,2267,858,23,62388
