epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.5167559882005056,0.7335379464285714,0.0954017944216891,0.7810379241516966,0.17003432842306523,0.09291667656068198,0.7318178532706903,7826,74206,2194,202494,0.667930006980896,0.141448974609375,0.03910786255891796,1.0,0.07527199815928738,0.03910786255891796,0.11036271068526073,2290,56266,0,6980
2,9.998303758629009e-05,0.3573429352707333,0.7759974888392858,0.13494693173859168,0.9999001996007985,0.23780024684325454,0.13494511414910096,0.7678894109143477,10019,64225,1,212475,0.34151533246040344,0.810333251953125,0.15557065217391305,1.0,0.2692533803644915,0.15557065217391305,0.8034658318312621,2290,12430,0,50816
3,9.993216197035142e-05,0.3001379933622148,0.8640380859375,0.2044290233697316,0.9996007984031936,0.33943912564602213,0.20441233494561115,0.8591290205999277,10016,38979,4,237721,0.3088071346282959,0.94158935546875,0.3740170380078637,0.996943231441048,0.5439599714081486,0.37358861070201277,0.9395851121019511,2283,3821,7,59425
4,9.984740801978987e-05,0.2593354168865416,0.9156947544642857,0.29243179818128484,0.9949101796407186,0.4520063477669463,0.2919949620690665,0.9128261655222263,9969,24121,51,252579,0.27355577051639557,0.9437103271484375,0.3828504438117568,0.9982532751091703,0.5534438929911633,0.38259414225941424,0.9417354457198874,2286,3685,4,59561
5,9.972883382072955e-05,0.22890644603305393,0.9262381417410714,0.32124385621124996,0.998003992015968,0.4860385428564485,0.3210375935021991,0.9236393205637875,10000,21129,20,255571,0.2222381755709648,0.974395751953125,0.5884904569115096,0.888646288209607,0.7080723729993041,0.548074333423108,0.9775005533946811,2035,1423,255,61823
6,9.957652063800364e-05,0.19890735215610927,0.9431117466517858,0.38038559531505495,0.9983033932135729,0.5508714926893742,0.38013984950976665,0.9411131189013372,10003,16294,17,260406,0.20029769837856293,0.945526123046875,0.3905982905982906,0.9978165938864629,0.5614250614250615,0.39026473099914605,0.9436327989121842,2285,3565,5,59681
7,9.939057285945934e-05,0.1757426013549169,0.9523786272321428,0.4231127285037238,0.9979041916167665,0.5942588850588375,0.4227370735213292,0.9507300325262017,9999,13633,21,263067,0.2027437537908554,0.9473724365234375,0.396388342571071,0.9681222707423581,0.5624762146390968,0.39128132721496645,0.9466211301900516,2217,3376,73,59870
8,9.917111792441577e-05,0.1580455568101671,0.9574148995535714,0.45064899945916714,0.9979041916167665,0.6209016393442623,0.45022288261515603,0.9559486808818215,9999,12189,21,264511,0.31472815573215485,0.9686737060546875,0.5361611229783338,0.7672489082969433,0.6312196874438657,0.4611548556430446,0.9759668595642412,1757,1520,533,61726
9,9.891830623632339e-05,0.14343875812159645,0.9612583705357143,0.47417149368531003,0.9967065868263473,0.6426227398494305,0.47342972268310024,0.9599747018431515,9987,11075,33,265625,0.21085070818662643,0.9654541015625,0.5030559473436765,0.9344978165938864,0.6540342298288508,0.485921889191644,0.9665749612623723,2140,2114,150,61132
10,9.8632311059685e-05,0.12707528389162487,0.9661376953125,0.5078962067739806,0.9982035928143712,0.6732406690674115,0.5074323981533154,0.9649765088543549,10002,9691,18,267009,0.2594175860285759,0.97589111328125,0.6289970930232558,0.7558951965065502,0.6866322887742958,0.5228027786167321,0.9838566865888752,1731,1021,559,62225
