epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.6204931934674581,0.6342250279017857,0.06528015838825287,0.7107784431137725,0.11957790109050612,0.0635909890443494,0.6314528370075895,7122,101977,2898,174723,0.6907873153686523,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
2,9.998303758629009e-05,0.4353248046504127,0.80146484375,0.14764566242976052,0.9807385229540918,0.2566533469142574,0.14721876825815344,0.794972894831948,9827,56731,193,219969,0.691165417432785,0.9256591796875,0.049860529986053,0.062445414847161575,0.05544784800310198,0.02851445663010967,0.9569142712582613,143,2725,2147,60521
3,9.993216197035142e-05,0.35237614976035225,0.9064522879464286,0.2716747295754743,0.9976047904191617,0.42705173665997354,0.271497637025368,0.9031514275388507,9996,26798,24,249902,0.6904126405715942,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
4,9.984740801978987e-05,0.3006877336237166,0.9526890345982143,0.4246482166390341,0.9969061876247505,0.5955937155293205,0.42408932665364696,0.9510878207444886,9989,13534,31,263166,0.6839838027954102,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
5,9.972883382072955e-05,0.26182185610135394,0.9716761997767858,0.5526067926200897,0.9954091816367265,0.7106772596102461,0.5512019894998619,0.9708167690639682,9974,8075,46,268625,0.40672504901885986,0.983673095703125,0.7975609756097561,0.7139737991266376,0.7534562211981567,0.6044362292051756,0.9934383202099738,1635,415,655,62831
6,9.957652063800364e-05,0.23369092577033573,0.9747314453125,0.5808425100506904,0.9949101796407186,0.7334731265864696,0.579121645172534,0.9740007228044814,9969,7194,51,269506,0.25587812066078186,0.981842041015625,0.675494575622208,0.9244541484716157,0.7806047197640118,0.6401572422134866,0.9839199316952851,2117,1017,173,62229
7,9.939057285945934e-05,0.20755394962098864,0.9807791573660715,0.6461588330632091,0.9947105788423154,0.7834152092749066,0.6439462462850497,0.9802746657029273,9967,5458,53,271242,0.2561018764972687,0.984344482421875,0.7309941520467836,0.8733624454148472,0.7958615200955034,0.6609385327164574,0.98836290042058,2000,736,290,62510
8,9.917111792441577e-05,0.18821068108081818,0.9818673270089285,0.6594140599166721,0.9951097804391218,0.7932063163756412,0.6572841133816744,0.9813877846042646,9971,5150,49,271550,0.23343487083911896,0.9832611083984375,0.7040711597673623,0.8986899563318778,0.7895645501630539,0.65229793977813,0.986323245738861,2058,865,232,62381
9,9.891830623632339e-05,0.17361585630310905,0.9842424665178572,0.6906444906444906,0.9946107784431137,0.8152147239263804,0.6880695940347971,0.9838670039754246,9966,4464,54,272236,0.22577577829360962,0.984161376953125,0.7218284904323176,0.8895196506550218,0.7969483568075117,0.6624390243902439,0.9875881478670588,2037,785,253,62461
10,9.8632311059685e-05,0.16267656617694431,0.9833670479910714,0.6791294262127311,0.9934131736526947,0.8067431211249341,0.6760850370169124,0.9830032526201662,9954,4703,66,271997,0.202980637550354,0.9795989990234375,0.6440882975506501,0.9301310043668122,0.7611220296587456,0.6143640034612057,0.9813901274388894,2130,1177,160,62069
11,9.831332840130888e-05,0.15128208365705278,0.9859095982142857,0.7142447692748639,0.9948103792415169,0.8314981648314982,0.7115933752141633,0.9855872786411276,9968,3988,52,272712,0.18958891183137894,0.98358154296875,0.6999341238471674,0.9279475982532751,0.7979722117912129,0.6638550452983443,0.9855959270151472,2125,911,165,62335
12,9.796157687597556e-05,0.14455401566293505,0.9864780970982143,0.7234955977588591,0.992315369261477,0.8368471994276817,0.7194645441389291,0.986266714853632,9943,3800,77,272900,0.1744839772582054,0.98126220703125,0.6595552884615384,0.9585152838427947,0.7814168743325026,0.6412503651767455,0.9820858236093982,2195,1133,95,62113
13,9.757729755661011e-05,0.13701904979017046,0.9861955915178572,0.7184032281308546,0.9950099800399201,0.8343794459787429,0.7158242389431362,0.9858764004336827,9970,3908,50,272792,0.1789812669157982,0.984344482421875,0.7140921409214093,0.9205240174672489,0.8042731781762686,0.6726228462029356,0.9866552825475129,2108,844,182,62402
14,9.716075380906284e-05,0.1295947010318438,0.9880789620535714,0.7478228228228229,0.9941117764471058,0.8535561268209083,0.7445250018686,0.9878604987350922,9961,3359,59,273341,0.17782112210988998,0.980621337890625,0.6547330097087378,0.9423580786026201,0.7726459004654492,0.6295215869311552,0.9820067672263859,2158,1138,132,62108
15,9.671223111161149e-05,0.12548691034317017,0.9856689453125,0.7103708448999929,0.9960079840319361,0.8292824795379949,0.7083540350628149,0.9852945428261656,9980,4069,40,272631,0.16236694157123566,0.9846038818359375,0.7092453446586083,0.9480349344978166,0.8114371145580266,0.6827044025157233,0.9859279638237991,2171,890,119,62356
16,9.62320368593087e-05,0.11957399961021212,0.9886962890625,0.7580510087552341,0.9937125748502994,0.8600302310516087,0.7544324897711775,0.9885146367907481,9957,3178,63,273522,0.16264844685792923,0.98272705078125,0.6832278481012658,0.9427947598253276,0.7922935779816515,0.6560316013369797,0.9841729121209246,2159,1001,131,62245
17,9.572050015330875e-05,0.11480854120519426,0.9878034319196428,0.7428337428337428,0.9957085828343314,0.8508805594644152,0.7404631141457622,0.987517166606433,9977,3454,43,273246,0.16763488948345184,0.9832000732421875,0.6928316574764839,0.9327510917030568,0.7950865438302624,0.659870250231696,0.9850267210574581,2136,947,154,62299
18,9.517797157531812e-05,0.10923435539007187,0.9891392299107142,0.7651259213759214,0.9945109780439122,0.8648672105537233,0.7619084027830874,0.9889447054571738,9965,3059,55,273641,0.1648593321442604,0.98541259765625,0.7328910614525139,0.9165938864628821,0.8145129996119518,0.6870703764320786,0.9879043733991082,2099,765,191,62481
19,9.460482294732422e-05,0.1047634341650539,0.9896240234375,0.7730831847430033,0.9952095808383233,0.8701950346873774,0.770217038696223,0.9894217564148897,9972,2927,48,273773,0.17524273693561554,0.98577880859375,0.7478102189781022,0.894759825327511,0.8147117296222665,0.6873532371687353,0.9890744078676912,2049,691,241,62555
20,9.40014470767673e-05,0.10036670416593552,0.9902308872767858,0.7833869828059983,0.9958083832335329,0.8769169925737136,0.7808122701306831,0.9900289121792555,9978,2759,42,273941,0.16167283803224564,0.9848785400390625,0.7249740214755802,0.9139737991266376,0.8085763955959051,0.6786640726329443,0.9874458463776365,2093,794,197,62452
21,9.336825748732973e-05,0.09752966380781597,0.9900425502232143,0.7796861581700367,0.9967065868263473,0.8749397695913093,0.7776826039557702,0.9898012287676183,9987,2822,33,273878,0.1647094562649727,0.985076904296875,0.7303370786516854,0.9082969432314411,0.8096535616971584,0.6801831262262917,0.9878569395693009,2080,768,210,62478
