epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.6204691065682305,0.6341866629464286,0.06530544914679522,0.7111776447105789,0.11962597995601738,0.06361818376602507,0.6313986266714854,7126,101992,2894,174708,0.6907826662063599,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
2,9.998303758629009e-05,0.4354301889737447,0.8013532366071429,0.1475747109175552,0.9807385229540918,0.25654614280120086,0.14714822634502792,0.7948572461149259,9827,56763,193,219937,0.6912965178489685,0.917327880859375,0.043757292882147025,0.06550218340611354,0.05246589716684156,0.02693965517241379,0.9481706352970939,150,3278,2140,59968
3,9.993216197035142e-05,0.35242199235492283,0.9063232421875,0.27140180825934673,0.9976047904191617,0.42671447781264005,0.2712250712250712,0.903017708709794,9996,26835,24,249865,0.6903381943702698,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
4,9.984740801978987e-05,0.30066186520788407,0.9526192801339286,0.4243067646184551,0.9972055888223553,0.59531115016831,0.42380285871824236,0.951004698229129,9992,13557,28,263143,0.6843750774860382,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
5,9.972883382072955e-05,0.2617936266793145,0.9718436104910714,0.554086338129896,0.995309381237525,0.7118740854420215,0.5526432450404521,0.9709938561619083,9973,8026,47,268674,0.4030757546424866,0.9839630126953125,0.7974075852136342,0.7253275109170305,0.7596615595700892,0.6124631268436578,0.9933276412737564,1661,422,629,62824
6,9.957652063800364e-05,0.23358369867006937,0.9748779296875,0.5822481751824817,0.9951097804391218,0.7346472646896298,0.5805869337370444,0.9741452837007589,9971,7154,49,269546,0.2548850476741791,0.9819488525390625,0.6768935762224353,0.9248908296943231,0.7816940394906811,0.6416237503786731,0.9840147993548999,2118,1011,172,62235
7,9.939057285945934e-05,0.20784169932206473,0.9806710379464286,0.6447691710849606,0.9952095808383233,0.7825472808600801,0.642774268402733,0.9801445608962776,9972,5494,48,271206,0.25437815487384796,0.984466552734375,0.7321167883211679,0.8759825327510917,0.7976143141153081,0.6633597883597884,0.9883945229737849,2006,734,284,62512
8,9.917111792441577e-05,0.18841896951198578,0.98212890625,0.6628092577813248,0.9946107784431137,0.7954980842911876,0.6604373757455269,0.9816769063968197,9966,5070,54,271630,0.2255917266011238,0.9825897216796875,0.6891669410602568,0.9139737991266376,0.7858081471747701,0.6471861471861472,0.9850741548872656,2093,944,197,62302
9,9.891830623632339e-05,0.17345348662800258,0.9839215959821429,0.6861409303605835,0.9951097804391218,0.812235255783643,0.6838351279061793,0.9835164438019516,9971,4561,49,272139,0.2176963910460472,0.9840545654296875,0.7151745592810231,0.9034934497816594,0.7983793169978776,0.6644187540141298,0.9869715080795624,2069,824,221,62422
10,9.8632311059685e-05,0.1624719434314304,0.9836669921875,0.6830623585099814,0.9937125748502994,0.8096109281619709,0.6801229508196721,0.9833032164799421,9957,4620,63,272080,0.20209906995296478,0.978851318359375,0.6331761932822628,0.9384279475982533,0.7561576354679803,0.6079207920792079,0.9803149606299213,2149,1245,141,62001
11,9.831332840130888e-05,0.15144526958465576,0.9858782087053571,0.7139070000716486,0.9944111776447105,0.8311298327563915,0.7110540212659673,0.9855692085290929,9964,3993,56,272707,0.19294411689043045,0.9822540283203125,0.6807828039781841,0.9266375545851528,0.7849084520066579,0.6459665144596651,0.9842677797805395,2122,995,168,62251
12,9.796157687597556e-05,0.14554275075594583,0.9860525948660714,0.7167854828256643,0.9934131736526947,0.8327268164136028,0.7133949688239088,0.9857860498735093,9954,3933,66,272767,0.17548569291830063,0.9803619384765625,0.6473699676755804,0.9620087336244542,0.7739329000526964,0.6312320916905444,0.9810264680770325,2203,1200,87,62046
13,9.757729755661011e-05,0.13795210421085358,0.9859584263392858,0.7150854026123152,0.9944111776447105,0.8319278617349922,0.7122230164403145,0.9856523310444525,9964,3970,56,272730,0.18543551117181778,0.9847564697265625,0.7240541478653245,0.9109170305676856,0.8068071939663508,0.6761750405186385,0.9874300351010341,2086,795,204,62451
14,9.716075380906284e-05,0.13195595973067814,0.9873674665178571,0.7369278625388831,0.9930139720558883,0.8460164951959868,0.7331270262304745,0.9871629924105529,9950,3552,70,273148,0.17790572345256805,0.977264404296875,0.6112347052280311,0.959825327510917,0.7468569486918111,0.5959869848156182,0.9778958353097429,2198,1398,92,61848
15,9.671223111161149e-05,0.12773099210527208,0.9841134207589286,0.6883833160978973,0.9965069860279441,0.8142711518858307,0.686726272352132,0.983664618720636,9985,4520,35,272180,0.16282670199871063,0.9817657470703125,0.6664639708117969,0.9572052401746725,0.7858039075103065,0.6471803956303513,0.9826550295670873,2192,1097,98,62149
16,9.62320368593087e-05,0.12216796394851473,0.98828125,0.7511691054457686,0.9939121756487026,0.8556577025517657,0.7477288084691043,0.9880773400795085,9959,3299,61,273401,0.16863928735256195,0.9811859130859375,0.6634704608722549,0.9366812227074236,0.7767517653449212,0.6349911190053286,0.9827973310565095,2145,1088,145,62158
