epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.6105234159363641,0.6270193917410715,0.06562211485886899,0.7306387225548903,0.12042802036468916,0.06407204494932699,0.6232670762558727,7321,104242,2699,172458,0.6817899942398071,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
2,9.998303758629009e-05,0.4289886686537001,0.7197021484375,0.10971672048200792,0.9868263473053892,0.1974776070219586,0.10955625727106531,0.7100289121792556,9888,80235,132,196465,0.6805111765861511,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
3,9.993216197035142e-05,0.3549458417627547,0.8131696428571429,0.1572642845899575,0.9971057884231537,0.27167912984364373,0.1571925297754842,0.806508854354897,9991,53539,29,223161,0.7008470892906189,0.034942626953125,0.034942626953125,1.0,0.06752572759708667,0.034942626953125,0.0,2290,63246,0,0
4,9.984740801978987e-05,0.29070747560924953,0.8891636439732142,0.23909446269694717,0.9950099800399201,0.3855449641331039,0.23880811516443506,0.8853306830502349,9970,31729,50,244971,0.7089456915855408,0.034942626953125,0.034942626953125,1.0,0.06752572759708667,0.034942626953125,0.0,2290,63246,0,0
5,9.972883382072955e-05,0.24339818623330858,0.9390380859375,0.3636828831463138,0.9930139720558883,0.5323844939672008,0.3627547486237194,0.9370834839176003,9950,17409,70,259291,0.8023128509521484,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
6,9.957652063800364e-05,0.21427558031347063,0.9595738002232143,0.46334064498063193,0.9908183632734531,0.6314115813909118,0.46135972861192437,0.9584423563426093,9928,11499,92,265201,0.748881459236145,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
7,9.939057285945934e-05,0.19978139135572645,0.9673095703125,0.5170865684255005,0.9770459081836327,0.6762684350499085,0.510880342326358,0.9669569931333575,9790,9143,230,267557,1.1852622032165527,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
8,9.917111792441577e-05,0.18158219589127433,0.9705147879464285,0.5434806752554421,0.9767465069860279,0.6983730555159127,0.5365385669645305,0.9702891217925551,9787,8221,233,268479,1.1435339450836182,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
9,9.891830623632339e-05,0.1636106272538503,0.9730643136160714,0.5654453245199157,0.9903193612774451,0.7198665167398164,0.5623370735577468,0.9724394651246838,9923,7626,97,269074,0.9047488272190094,0.963043212890625,0.22950819672131148,0.02445414847161572,0.04419889502762431,0.022598870056497175,0.9970274799987351,56,188,2234,63058
10,9.8632311059685e-05,0.17256776822937858,0.9768589564732143,0.6067486597287922,0.9600798403193613,0.7435748792270531,0.5918179021839434,0.9774665702927359,9620,6235,400,270465,0.4142743796110153,0.9260711669921875,0.26623970722781337,0.6353711790393013,0.3752417794970987,0.23095238095238096,0.9365967808240837,1455,4010,835,59236
11,9.831332840130888e-05,0.15016010072496203,0.9747349330357142,0.5814076246334311,0.9893213572854291,0.7323974879940894,0.577781663460978,0.9742067220816769,9913,7137,107,269563,0.19964463263750076,0.94671630859375,0.3925634608509117,0.9589519650655022,0.5570776255707762,0.3860759493670886,0.9462732821047971,2196,3398,94,59848
12,9.796157687597556e-05,0.13792715304427677,0.9781947544642857,0.6178973717146433,0.9854291417165668,0.7595384615384615,0.6123031129852412,0.977932779183231,9874,6106,146,270594,0.17293142527341843,0.9591217041015625,0.45913006934229883,0.9541484716157205,0.6199460916442049,0.44921875,0.9593017740252348,2185,2574,105,60672
13,9.757729755661011e-05,0.1396024210585488,0.9796526227678571,0.6364406779661017,0.9743512974051897,0.7699526813880125,0.6259537090466115,0.9798445970365016,9763,5577,257,271123,0.19214481115341187,0.9772796630859375,0.6215477996965099,0.8943231441048035,0.7333930170098478,0.5790217698614645,0.9802833380767163,2048,1247,242,61999
14,9.716075380906284e-05,0.1300404452615314,0.9796421595982143,0.6349616054720268,0.9820359281437125,0.7712505388564486,0.6276711105441092,0.9795554752439465,9840,5657,180,271043,0.18534810096025467,0.977294921875,0.6230816451810927,0.8864628820960698,0.7317952415284787,0.5770324047754406,0.9805837523321633,2030,1228,260,62018
