epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.713344673315684,0.9430140904017857,0.03720521458913139,0.02534930139720559,0.030153736570309255,0.015307659856566022,0.9762450307191904,254,6573,9766,270127,0.6696626245975494,0.965057373046875,0.0,0.0,0.0,0.0,1.0,0,0,2290,63246
2,9.998303758629009e-05,0.6468532085418701,0.9650320870535715,0.36363636363636365,0.0007984031936127744,0.0015933081059549888,0.0007972892166633447,0.9999494036863028,8,14,10012,276686,0.5307420194149017,0.966644287109375,0.5498084291187739,0.25065502183406113,0.34433113377324537,0.20797101449275363,0.9925686999968377,574,470,1716,62776
3,9.993216197035142e-05,0.42896200550927055,0.93759765625,0.29631546263713515,0.5714570858283433,0.39026717557251905,0.24244220509780676,0.9508565233104446,5726,13598,4294,263102,0.33842262625694275,0.8737640380859375,0.21674083893570684,0.9995633187772925,0.35623686872616916,0.2167203181215679,0.8692091199443444,2289,8272,1,54974
4,9.984740801978987e-05,0.2883826113409466,0.9297433035714285,0.32415062877787815,0.9312375249500998,0.48090501468845026,0.31657336726039015,0.9296891940730032,9331,19455,689,257245,0.20757661759853363,0.937713623046875,0.35836231425861526,0.9899563318777292,0.526230269266481,0.35706410458339893,0.9358220282705626,2267,4059,23,59187
5,9.972883382072955e-05,0.18860010471608904,0.9459716796875,0.3904616986345253,0.9731536926147705,0.5573114622924585,0.3863006100942873,0.9449873509215757,9751,15222,269,261478,0.13785205781459808,0.9369659423828125,0.3566422675595702,1.0,0.5257720123981173,0.3566422675595702,0.9346836163551845,2290,4131,0,59115
6,9.957652063800364e-05,0.1271364614367485,0.9528459821428571,0.42503427004797806,0.9902195608782435,0.5947728090157055,0.4232574012456275,0.9514925912540658,9922,13422,98,263278,0.10062607377767563,0.9748687744140625,0.5842284516636101,0.9737991266375546,0.7303094809235303,0.5751870002579313,0.9749075040318755,2230,1587,60,61659
7,9.939057285945934e-05,0.10181400014294519,0.968212890625,0.524313009875483,0.9749500998003992,0.6819070221974033,0.5173436424296987,0.9679689194073003,9769,8863,251,267837,0.06610005721449852,0.970703125,0.544047619047619,0.9978165938864629,0.7041602465331278,0.5434007134363853,0.9697214053062644,2285,1915,5,61331
8,9.917111792441577e-05,0.0827706182996432,0.9665806361607143,0.5113061435209086,0.9884231536926148,0.6739707383463764,0.5082623421943959,0.9657896638959161,9904,9466,116,267234,0.06823619082570076,0.9775238037109375,0.6112169888374626,0.980349344978166,0.752976689585779,0.6038192576654116,0.9774214970116687,2245,1428,45,61818
9,9.891830623632339e-05,0.07404121342632505,0.9725132533482143,0.5608811977002334,0.9833333333333333,0.7143219632435568,0.5555994135558814,0.9721214311528732,9853,7714,167,268986,0.05297333002090454,0.973297119140625,0.5668979187314173,0.9991266375545852,0.7233638950363579,0.566617137196632,0.9723618884988774,2288,1748,2,61498
10,9.8632311059685e-05,0.06741600649224387,0.9721819196428572,0.5576424139875916,0.9867265469061877,0.7125765765765767,0.5534904551307172,0.971655222262378,9887,7843,133,268857,0.05387663654983044,0.9726409912109375,0.5608621111927504,1.0,0.7186568335163973,0.5608621111927504,0.9716503810517662,2290,1793,0,61453
11,9.831332840130888e-05,0.07577770286136204,0.9720598493303572,0.5569799761756197,0.979940119760479,0.710260768924735,0.550701065619742,0.971774485001807,9819,7810,201,268890,0.07497982680797577,0.96356201171875,0.4895164741121095,0.9991266375545852,0.6570936243538197,0.4893071000855432,0.9622742940264997,2288,2386,2,60860
12,9.796157687597556e-05,0.07173925472630395,0.9741908482142857,0.577004467434752,0.9796407185628743,0.7262503699319326,0.5701672862453532,0.9739934947596675,9816,7196,204,269504,0.07250915095210075,0.9659271240234375,0.5063067050232353,0.9991266375545852,0.6720516962843297,0.5060827250608273,0.964725041899883,2288,2231,2,61015
13,9.757729755661011e-05,0.06078127274910609,0.9759591238839286,0.5938982643685063,0.9869261477045909,0.7415544973941733,0.589262304850435,0.975561980484279,9889,6762,131,269938,0.05818290635943413,0.9736785888671875,0.5706426606651663,0.9965065502183406,0.7257115598664335,0.5695033691040678,0.972852038073554,2282,1717,8,61529
14,9.716075380906284e-05,0.062428482704692416,0.9749197823660715,0.5837428216209816,0.9840319361277445,0.7327858496525584,0.5782652043868395,0.9745898084568124,9860,7031,160,269669,0.06294737383723259,0.9677276611328125,0.5198637911464246,1.0,0.6840926064227035,0.5198637911464246,0.9665591499857699,2290,2115,0,61131
15,9.671223111161149e-05,0.07350729695624775,0.9754708426339286,0.5906745188513144,0.9709580838323353,0.7345136083953041,0.5804199976136499,0.9756342609324178,9729,6742,291,269958,0.05270732566714287,0.9742584228515625,0.5759254595819693,0.9986899563318777,0.730554224564766,0.5754906894816306,0.9733738102014357,2287,1684,3,61562
16,9.62320368593087e-05,0.06075708112782902,0.9786446707589286,0.6237064313376929,0.9804391217564871,0.7624073571068255,0.6160406346021196,0.978579689194073,9824,5927,196,270773,0.0723610408604145,0.9763641357421875,0.5996771589991929,0.9733624454148472,0.7421341767937406,0.5899947061937533,0.9764728204155203,2229,1488,61,61758
17,9.572050015330875e-05,0.06427198027571042,0.9751534598214285,0.5864271218813417,0.9805389221556886,0.7339209681033838,0.5796802171219541,0.9749584387423202,9825,6929,195,269771,0.04166032560169697,0.9824676513671875,0.6670571010248902,0.994759825327511,0.7985977212971078,0.6647213306098628,0.9820225785029884,2278,1137,12,62109
18,9.517797157531812e-05,0.05554493682252036,0.9775495256696428,0.610443252573824,0.9882235528942116,0.7546968484432758,0.6060346410429035,0.9771629924105529,9902,6319,118,270381,0.05228770896792412,0.9799041748046875,0.6370808678500987,0.9873362445414847,0.7744476793971571,0.6319172722191169,0.9796350757360149,2261,1288,29,61958
19,9.460482294732422e-05,0.05349616416626506,0.9769740513392857,0.6041565090199903,0.9893213572854291,0.7501891932798548,0.600242204056918,0.9765269244669317,9913,6495,107,270205,0.05677347630262375,0.977874755859375,0.6145038167938931,0.9842794759825327,0.7566297415240013,0.6085313174946004,0.9776428548841033,2254,1414,36,61832
