epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,train_specificity,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou,val_specificity,val_tp,val_fp,val_fn,val_tn
1,0.0001,0.5397303501764933,0.8048479352678571,0.10507944150216658,0.609880239520958,0.17927129781741374,0.09846129058245388,0.8119082038308637,6111,52045,3909,224655,0.3481382727622986,0.85662841796875,0.19596097894916994,1.0,0.3277046365197482,0.19596097894916994,0.8514372450431648,2290,9396,0,53850
2,9.998303758629009e-05,0.256055333548122,0.8766671316964286,0.21964333126825383,0.9907185628742515,0.3595696899449435,0.21919229835059287,0.8725370437296711,9927,35269,93,241431,0.17542090266942978,0.93682861328125,0.34890558640967007,0.9327510917030568,0.507845934379458,0.3403441682600382,0.936976251462543,2136,3986,154,59260
3,9.993216197035142e-05,0.16972336835331386,0.9203090122767857,0.2999282617510371,0.9596806387225549,0.4570233597110335,0.29619590328045586,0.9188832670762559,9616,22445,404,254255,0.1513519063591957,0.928741455078125,0.325,0.9650655021834061,0.4862486248624862,0.32122093023255816,0.9274262403946495,2210,4590,80,58656
4,9.984740801978987e-05,0.15134766532315147,0.9281703404017857,0.3228346456692913,0.9615768463073853,0.483381412266399,0.3187231227257691,0.9269606071557643,9635,20210,385,256490,0.14945577085018158,0.955474853515625,0.4352577319587629,0.9218340611353711,0.5913165266106443,0.4197653609067409,0.9566929133858267,2111,2739,179,60507
5,9.972883382072955e-05,0.13436508344279396,0.9361537388392858,0.3510676540369545,0.9746506986027944,0.5162006448543792,0.34789113707609004,0.9347596675099386,9766,18052,254,258648,0.12335953116416931,0.9596405029296875,0.46219382321618746,0.9475982532751092,0.6213314244810308,0.45067497403946,0.960076526578756,2170,2525,120,60721
6,9.957652063800364e-05,0.11359387718968922,0.9466099330357143,0.39365296436328534,0.9767465069860279,0.5611490166848231,0.3899980075712293,0.9455186122153957,9787,15075,233,261625,0.08565807715058327,0.9630279541015625,0.4855277475516866,0.974235807860262,0.648075526506899,0.47937258272453803,0.9626221421117541,2231,2364,59,60882
7,9.939057285945934e-05,0.08941368924246894,0.9575857979910715,0.4511209533811241,0.9860279441117764,0.6190282259327715,0.448255523796561,0.9565558366461872,9880,12021,140,264679,0.06046275235712528,0.9740753173828125,0.5751717120325617,0.9873362445414847,0.7268927825108504,0.570959595959596,0.9735951680738703,2261,1670,29,61576
8,9.917111792441577e-05,0.07353919247786204,0.9658447265625,0.5057769634040821,0.9917165668662674,0.6699025853642094,0.5036492650785606,0.964907842428623,9937,9710,83,266990,0.05983997322618961,0.983978271484375,0.69375,0.9694323144104804,0.8087431693989071,0.6788990825688074,0.9845049489295766,2220,980,70,62266
9,9.891830623632339e-05,0.07493496313691139,0.9737444196428572,0.5731821919417361,0.9739520958083833,0.7216593951046365,0.5645282582287268,0.9737368991687748,9759,7267,261,269433,0.060923224315047264,0.9698638916015625,0.5370501058574453,0.996943231441048,0.6980584008561382,0.5361672146547675,0.9688834076463334,2283,1968,7,61278
10,9.8632311059685e-05,0.07460674229595396,0.9718994140625,0.5556374355195284,0.9782435129740519,0.7087234734825205,0.5488549190884148,0.9716696783520058,9802,7839,218,268861,0.06165260635316372,0.966064453125,0.5073105892778024,1.0,0.6731334509112287,0.5073105892778024,0.9648357208361003,2290,2224,0,61022
11,9.831332840130888e-05,0.07885946581761043,0.9720633370535714,0.5577453458974948,0.9687624750499002,0.7079200700116686,0.5478918552802393,0.9721828695337911,9707,7697,313,269003,0.05640518106520176,0.9686126708984375,0.5268000920174833,1.0,0.6900708151273166,0.5268000920174833,0.9674762040287133,2290,2057,0,61189
12,9.796157687597556e-05,0.06803677024112807,0.97255859375,0.5615560640732266,0.9796407185628743,0.7138909090909091,0.5550780366432934,0.97230213227322,9816,7664,204,269036,0.04573189467191696,0.9777374267578125,0.6113045807661398,0.9965065502183406,0.7577619126681054,0.6099973269179364,0.9770578376498118,2282,1451,8,61795
13,9.757729755661011e-05,0.06894505562053786,0.9734479631696429,0.5698207344665545,0.9802395209580839,0.720695601129985,0.5633495841697734,0.9732020238525478,9822,7415,198,269285,0.12010709196329117,0.9863739013671875,0.7640831758034027,0.882532751091703,0.819047619047619,0.6935483870967742,0.9901337634000569,2021,624,269,62622
14,9.716075380906284e-05,0.06540286830729908,0.9739885602678572,0.5750615258408531,0.9794411177644711,0.7246548032193753,0.5682028716998611,0.9737911095048789,9814,7252,206,269448,0.04521962255239487,0.9759063720703125,0.5920269220812839,0.9986899563318777,0.7433772143669755,0.5915675116399379,0.9750814280745027,2287,1576,3,61670
15,9.671223111161149e-05,0.061955992546346456,0.9733816964285714,0.5688184438040346,0.9849301397205589,0.7211545487760322,0.5639106336780756,0.9729634983736899,9869,7481,151,269219,0.042093854397535324,0.9808502197265625,0.64689185353392,0.9951965065502183,0.7841045931532771,0.644878324844369,0.9803307719065237,2279,1244,11,62002
16,9.62320368593087e-05,0.0611313097178936,0.9749546595982143,0.5841185185185185,0.9837325349301397,0.7329986986428704,0.5785303439370818,0.9746367907481026,9857,7018,163,269682,0.06476910039782524,0.978424072265625,0.6226203807390818,0.97117903930131,0.7587853974752644,0.6113249037932931,0.9786863991398665,2224,1348,66,61898
17,9.572050015330875e-05,0.06878464710381296,0.9757952008928571,0.5934919864011656,0.9756487025948104,0.7380341235089839,0.5848289064369466,0.9758005059631369,9776,6696,244,270004,0.0595895741134882,0.97442626953125,0.5780773143438453,0.9925764192139738,0.730633236901318,0.5755887566472525,0.9737690921164975,2273,1659,17,61587
18,9.517797157531812e-05,0.06607056574689017,0.9716971261160714,0.5534361851332398,0.9845309381237525,0.7085652720416591,0.5486651835372637,0.9712323816407662,9865,7960,155,268740,0.056657129898667336,0.981109619140625,0.6538911644236396,0.9759825327510917,0.7831114225648214,0.6435358479700547,0.9812952597792746,2235,1183,55,62063
